序号,标题,网址,是否违规,违规词
33,国际交流与合作处(港澳台办公室),http://www.baidu.com/link?url=HvZkz8zpbDdUCPhRgSP0UraLvoL6iGtHD_N0hHK_NDA6gKwjP6vjjTn0PaZxmLK7,不违规,
34,后勤管理处网站,http://www.baidu.com/link?url=r8jjob5EfvK0lDM7QQWX6LAcZpagEMoWcXn9hZx2S4UX3Bz6kXIpycty-vXHyIuL,不违规,
35,党委组织部(党校),http://www.baidu.com/link?url=DrLauK6tIa0EaHe-NH8WPZ0PxHxuVE_rLAo7NWEX2RKtaoYyNIFxQ7mz0WXacPw1,不违规,
36,陕西师范大学 现代教学技术教育部重点实验室,http://www.baidu.com/link?url=OzxJLaIHhLEsUFdovUxS20iA9g13zEZeYW-gl2OTqdEC-iFQrT2QIIFJdH0AYdN1,不违规,
37,陕西师范大学中国西部边疆研究院,http://www.baidu.com/link?url=ajyH3-Qu_NgNXI_CUelsgf-aXhrc4H1oyU2AWY7TqtqSbFWpm85jez7D-0RJxxmI,不违规,
38,陕西师范大学 社区居委会,http://www.baidu.com/link?url=pzDIUGDfTP2wA0Msyr1wX-VQm9mBTnDAEEriFdyOHlzJd2xNpN0hJ4gWIjUYfFox,不违规,
39,党委学工部(学生处),http://www.baidu.com/link?url=roYk7FdquqY4S4cNMkkYscvcWz3DIA1x7QQJtWNQ_zKagJQQ610mbM4XJhV-hFYL,不违规,
40,陕西师范大学国际商学院网站-主页-技术支持:新势力网络,http://www.baidu.com/link?url=aFcDyJIrH0M4Pqp4Cd-EGj_2QQM2sefd2nROhJNVkF3fbJto8FrhxHxBlEmL4Wrf,不违规,
41,陕西师范大学党委宣传部,http://www.baidu.com/link?url=Jx7Qx1QYqCiJimwaCRUUASMLQ61w-ki9QFC6ZHdnT3p8gD8juW50c2D4RSlQslFy,不违规,
42,陕西师范大学学科建设处,http://www.baidu.com/link?url=yTurfPXLgn6dKIIk8pDRvkzWF_bI2Ti5WX51b-ife1-uHGlTRnEzfQ3LmegbZgTK,不违规,
43,陕西师范大学远程教育学院官网,http://www.baidu.com/link?url=-GAZLrDeBaz_DZsROiOvTJGg_O3hUjI0LEBBW8IfTx-PGVintJXDP-ZvbITgEYEo,不违规,
44,心理学虚拟仿真实验教学中心-陕西师范大学,http://www.baidu.com/link?url=vYFfV7uzq7xRvL4i5NXpGs5Gt97CwCAbTHGMbI_NSo9GvFL2SdBz6fZB2fidOHVK,不违规,
45,河山网 || 陕西师范大学西北历史环境与经济社会发展研究院,http://www.baidu.com/link?url=Vophu2rqp3yg6Lxfmd_XfPjSj6tsdhohCQDzGe3WzSCMdX1x23rUlVVccTlawOOz,不违规,
46,陕西师范大学后勤第二集团网站首页,http://www.baidu.com/link?url=mvfgsHUjoHdhAt-1HsyLz3SqOgOvk4G7ZZn36VJhUnhC85VyC_s1X-0ZciAwlYO1,不违规,
47,陕师大-宗教研究中心,http://www.baidu.com/link?url=q_nL9W1wQvvnyXeOIxa63vEGy9te0ojfJrfTtfSKqDY_pprMRHJFG7Rg8OczhPaP,不违规,
48,陕西省哲学社会科学重点研究基地 西北基础教育与教师教育研究中心...,http://www.baidu.com/link?url=PIVfzcztjuZaDerXFm15faQ7Uvuhoa79PPpJsmMzaNJb4uoR45sw53fcS38dMK6z,不违规,
49,陕西师范大学新闻与传播学院,http://www.baidu.com/link?url=kCwRz0g1uPcPNIzGoW7kECWJ9ZkTeHK6i8PwWYHBmux6JvhqasqkpZZnNofgZIQ3,不违规,
50,陕西省国际科技合作基地食品与健康科学国际联合研究中心,http://www.baidu.com/link?url=uHsra4gbkPCGEqWe99MVE11amfg2HRtKJKs2X_FVA9FWHRPiNvIKwUfEByow58SI,不违规,
51,跨学科X-物理实验教学示范中心-陕西师范大学,http://www.baidu.com/link?url=nPheWv2WAX79fA2Ttdd-UicKKTvLxkE8dQ4E1S_fae0eJ9qg0v8kD8b0QQCtCcdY,不违规,
52,陕西师范大学基建处,http://www.baidu.com/link?url=eZjVf_Fvl3j86juWprl7iUHpySxxHToIxmqwFsKCPbHKvT01XFj_x6ApHklvKf8o,不违规,
53,化学实验中心-化学实验教学中心,http://www.baidu.com/link?url=9r3i7IUXmssxn0yk2k186QMQzMdabMsI4_DGgDi3DYUf6vsjmED4asUOvLWycCA_,不违规,
54,外国语学院网站,http://www.baidu.com/link?url=E2IZ4DIxRb4U3stRLCSHBHmVUwUw581EeqMdRjMYit9Jb5dYxkZKcSlv7X67Y-2Y,不违规,
55,学生处学生资助管理中心,http://www.baidu.com/link?url=HhAv7hNXnFc9qErElF5YnhDgPr0KwvrMZxNNQ8OsMkU55BaZWQ9OKRou8Ggfixdw,不违规,
56,陕西师范大学医学社会史研究中心官方主页-网站制作技术支持:新...,http://www.baidu.com/link?url=Ai0uu2Ij2IG0evAysONU7v3OTYVEC99xMjxvayrGcEG-pA2im4tYsOnH8PnsTh2M,不违规,
57,陕西师范大学迎新网站-首页,http://www.baidu.com/link?url=SZGsaQ_IM0hTQbhoxWQzQtHT6nqqkaJdOpSwoQbKNBcIk24QFFyqw5JnevHJtLXO,不违规,
58,陕师大审计处,http://www.baidu.com/link?url=fPShay-4FwD49wXS6N5XcacyJ5DanmuCVaufE-rcLnfgcvK1K-5QQJdDwmnxmjwE,不违规,
59,陕西师范大学体育人文社会科学研究中心,http://www.baidu.com/link?url=UolAsS8sW00Lv2yVsLwEaU8rndYbfQVWtkl5kkllxUDvmjTl3JsCk3XdSzS79lQG,不违规,
60,马克思主义学院,http://www.baidu.com/link?url=6Jea9Fd7nF453wmYol2vdOydQOJBZ6vBAw5r5m48Uv6z81nt_egCVlUzjm9tsvZE,不违规,
61,人文社会科学高等研究院,http://www.baidu.com/link?url=J_zIBF-Alc0_Re70-2kFh_I2o6bwB1gY9KxyPO3wmt50hBF3XawODaCT-0n9N0_i,不违规,
62,陕西师范大学研究生招生信息网,http://www.baidu.com/link?url=HLgRJNnfRMd9kerBiLeiA24U5UtPILt2jkCXNFB4P_IrKAK4nJZK5BQTLX8iEMxJ,不违规,
63,陕西师范大学哲学与政府管理学院 网站制作技术支持:新势力网络,http://www.baidu.com/link?url=2NzgzmzNspwsr5YR9B6H-7syw7SokzrrIOi_x-s6h1wUWY-OXjBGW45ojDWoHX2z,不违规,
64,陕西师范大学本科招生信息网,http://www.baidu.com/link?url=8SfqyKA628DzzgFDsOdmDy05lr1KI1c68EWOCCCHQH-tAnTxty6YLu3P0D1JBEcs,不违规,
65,陕西师范大学环境感知与信息处理工程技术研究中心,http://www.baidu.com/link?url=5bEj2U4W_O09LQYuvgn4WCF2M5reRr2XxI7Mn2qALH_49oiw_yf_rzWtQ57wlyaO,不违规,
66,中国古都名域网,http://www.baidu.com/link?url=0kOfpzfHP52ibpKE52C2d9j2yNWX0HkBjnZ4CXiDXRF-z8VHRMxYoGHuD2SDu_YI,不违规,
67,陕西师范大学邮件系统,http://www.baidu.com/link?url=or5hU9_7jutfpVSDwVVmB0WToh5_VFS1RRYN2ogZVWKBhWJ42xjKZpJBug2a1lZm,不违规,
68,陕西师范大学团委-启夏青年网,http://www.baidu.com/link?url=g26Do71C7ZZUvE3IUiY07rpujop92bcoPAvhjCagRq1cMBAuGC5_1LXbeU2WUL3y,不违规,
69,陕西师范大学教师教学发展中心,http://www.baidu.com/link?url=StuvMllldX5ketAUOyir2d6cmMiP1mstb3eXljhMcT9i82ztPVB2ONvx2cV_0Fd8,不违规,
70,陕西师范大学在线课程平台,http://www.baidu.com/link?url=7HMcjbYoqlrGDTrRex_ehfqP5Oz_P4FSYnHyX2S1T-FLEV8Qg5_I0nbvkfLSqTyT,不违规,
71,陕西师范大学秘书学系,http://www.baidu.com/link?url=I_FUSzTIJ9NrdHxftFMEEvJ0Hl2jViHe2fC-aDfz9P2h9Tiz3Dbmf9BjWmCDLart,不违规,
72,陕西师范大学学报编辑部,http://www.baidu.com/link?url=WIwG7gij-7FMD5h1mOPA_vdX1l49Z8kvRhHiWSRKSdNlHZtQYj-a0IKdmRrALl6A,不违规,
73,南方发展研究中心,http://www.baidu.com/link?url=Oae_igg5vbr7NLtMIKb9EcndPV-Fjl0bbWU7jUG3-sK,不违规,
74,陕西师大档案馆,http://www.baidu.com/link?url=TB7l7P_NQBy-uA5kzQTZ_JtDGfje6as3laKupb64PG_A1rGaR5N1MFiis0mxgWuj,不违规,
75,研究生院(研工部),http://www.baidu.com/link?url=gtgEf7KfbpW4Ea8BHsZp-UnHyaFjmEvwF9qFUJdVhi3CKv7-6kNBOufFKr7IJ2Xz,不违规,
76,陕西师范大学博物馆,http://www.baidu.com/link?url=UokBDwCmIBgdx_ALB0_I2owfyvRAd1oEUKHw60PLgP-77FYm_-QaFoP2Qo4MYqe1,不违规,
77,陕西省心理学会,http://www.baidu.com/link?url=3ThH2dR7-q78pW7fABtdxzahtBfrYWfW5sRaLdpfRt2xMsvdh4jv2QpjBvon246F,不违规,
78,陕西师范大学 党委统战部,http://www.baidu.com/link?url=juTVkppzfmu3pfBL-jPXij6g2j8bKT7r1uKqOykTolxv8YT5T2PyWReXUDMXpcS_D7XHh2J7odzjRUYnEljFHK,不违规,
79,运动科学与健身虚拟仿真实验教学中心,http://www.baidu.com/link?url=alQf9vAITDm2MH-hBZmwTb_97pab5DYqUSAGY9CEHazOXb-HoxCpSV_TiJ8n5APh,不违规,
80,运动科学与健身虚拟仿真实验教学中心,http://www.baidu.com/link?url=prLX9ZaueVxXV1wwOqWLbW5uVJMVl1ZbEW3Phfy5DMHuioQdf-AwYKGlT0f1NDur,不违规,
81,数字传媒技术国家级实验教学示范中心(陕西师范大学)- 新闻与传播...,http://www.baidu.com/link?url=QkjMTDbmfgRekX7sbXKcmgVXTmOebb3r08xUfThIOJT7ccHAzx6WBiLpUHkKb8Oj,不违规,
82,陕西师范大学教师干部教育学院,http://www.baidu.com/link?url=9T7caBs3xmn8wBZ6XwXOPskiqzUfoCjLSpeO5zfo1EcwdRLl7VzKb0WJNYnzYLJR,不违规,
83,访客首页 - 陕西师范大学服务门户,http://www.baidu.com/link?url=pS7hPIYlqyNCtDYCbQAwm0BETahd60k_k9Tekxqna7G,不违规,
84,一带一路建设与中亚研究协同创新中心,http://www.baidu.com/link?url=PwGLJ4WQo7U4JOAtVPB-mH10NZUwVOInSwYUDW0u2ns8YTGrdBWiKK37sfo2Ms5Q,不违规,
85,陕西省能源新材料与器件重点实验室,http://www.baidu.com/link?url=MByVIvcNuS46U97uphCUVhNb2IdzPC4JldlGjZ_2oQX07cA-JBl3_btoWWLYvSsV,不违规,
86,陕西高校课堂教学创新大赛平台,http://www.baidu.com/link?url=J5vCZPS-vHBxlc1mBSsOzkMvBVkrjrTb_NA_lswEEvftVV8mzkYBvS2H2c0pQL1J,不违规,
87,CircR2Disease,http://www.baidu.com/link?url=SvlstOxrJhZce6BjY8wqRgIIktx9chb0dw3O02zwTq0MvxZimQ0MFznx8Mpdsd_a,不违规,
88,语言资源开发研究中心,http://www.baidu.com/link?url=XBPGYHT68bhnduya7s7rGWKml57UPxoaw55Tp7bnoJFlA869tIB3yeoKHi4Oonia,不违规,
89,科学技术协会,http://www.baidu.com/link?url=OP_JpvFpYK-WuknmK-pSkq3Txmgq55v1mlJ_cSPb2bwc7YWVU9LwtxFmf8M1YSmx,不违规,
90,内部控制办公室,http://www.baidu.com/link?url=Tj_Ox4ZptoJCSTZABqldUdnH2-cqqXAJRONgq1CddaWrEGW1cQTQWigb51Cjn9VB,不违规,
91,访客首页 - 陕西师范大学服务门户,http://www.baidu.com/link?url=OwZl8_s00cQCdplnmvkjjUiGiARA0exurTS2YHaTZGm,不违规,
92,物资设备采购报名系统,http://www.baidu.com/link?url=RUmYDfZhqXqT5mYLt619w_KMAL_ogFGQdBIQYIjLRwjhwAic-Emkuczb_kL5OZgq,不违规,
93,陕西师范大学研究生信息管理系统--登录窗口,http://www.baidu.com/link?url=L32DRA6EswRsWXqaqKf2UdTO2vmsq4nCkPP5dLdD75ypZPs5NOwf8YWOFjrHufjs,不违规,
94,学术委员会,http://www.baidu.com/link?url=XZ1l5FX7xGmMQGUF-1f4GY8636tEZrnvl2KNJ2dwpC1sOREszF2jnS1GcUG_wUGm,不违规,
95,扶贫开发工作网,http://www.baidu.com/link?url=7v54plOMH3fYxT-H4DKu12TZONMNcLwS6Ikwl4EQOvHtyu7bYsZUKD9sKH0yfuwe,不违规,
96,陕西师范大学采购网站,http://www.baidu.com/link?url=E4uHDyb9lrj55Tm3HS_O8YeInRMgDVBXYOosSCdwTGK1F64ct7uguY-eVgG2qF3E,不违规,
97,陕西师范大学校园统一支付平台,http://www.baidu.com/link?url=OBufo76bFhypDTHMSDg9ReM3wslu7UIMyYa-12QxURKF9vW83JqVfBwJ6Xtn83z4,不违规,
