序号,标题,网址,是否违规,违规词
33,国际交流与合作处(港澳台办公室),http://www.baidu.com/link?url=PeOauP4tIDlyamWWvb10u0xuDNdfOu-HigT-vrWmnwYW0DSbd667M40yHWj_O7Na,不违规,
34,后勤管理处网站,http://www.baidu.com/link?url=sLUxr_wbjri-Ybdcnp0FLYgPWJbdK4LJ0-9LJnUHEVPKOH23kv8RJtxor_GGAjRV,不违规,
35,党委组织部(党校),http://www.baidu.com/link?url=RGw_ozPSMJL_g-ZbL-UeYyAHlPhtYF0iXrP_01yORLwY1yEpcVkPqnccI6IB1P_J,不违规,
36,陕西师范大学 现代教学技术教育部重点实验室,http://www.baidu.com/link?url=HC1RhS7hD4nRqtTme96TXZpTBu6EhHjEWlBjzYPTKxrEAbQWO8yfyzc198amwvw-,不违规,
37,陕西师范大学中国西部边疆研究院,http://www.baidu.com/link?url=cyfucson2JV_9lJV5Dkvyl4PscPw6Ar0MoOvnamyZ3i4reVH2o9pUNhZem-wLYb0,不违规,
38,陕西师范大学 社区居委会,http://www.baidu.com/link?url=Cv95kNaGfH-w4k0ThMhtXTTgIJgldf84HjAZ9BLkbcZeyP-2FmHLV4JVP9fx471h,不违规,
39,党委学工部(学生处),http://www.baidu.com/link?url=XPB7HToX93IW94YjRACQJ8aiEjF0bsuqt-I4fq4xVLatEj7jtMNcGu5rKN7ECLhX,不违规,
40,陕西师范大学党委宣传部,http://www.baidu.com/link?url=0PAoSoQ8nauPlihrcj0VvDM2yb5GDsddq6h43HTuPoN36yhE7bUHfQW0TkBI7wdj,不违规,
41,Shaanxi Normal University,http://www.baidu.com/link?url=JP6b82i_VchdSp-NfqyUL5hE6kv23SNhK8ii_SBBVi_c-LABMSyF_od_CIXw-yzJ,不违规,
42,陕西师范大学学科建设处,http://www.baidu.com/link?url=1iID5TX2rVu9pL4pNWmum-6--dTz4qUurwFWcR4mOCV0deNnegNdwdHYltCkzD-I,不违规,
43,心理学虚拟仿真实验教学中心-陕西师范大学,http://www.baidu.com/link?url=-XQuGHGImHoFgkc0zVpVWDuBMBXtMqbd5BeevfMaz1IbPRUESOLN0ax9gbaLLz7i,不违规,
44,陕西师范大学远程教育学院官网,http://www.baidu.com/link?url=kpaMvAwYRlFkTb5rbWsYvqUtSfrAYQocRW99rndkLSLbGxSs-zSYizh3Ncp8HfPv,不违规,
45,河山网 || 陕西师范大学西北历史环境与经济社会发展研究院,http://www.baidu.com/link?url=S9SxLO0r0kfNC-hwHJCndjUd_jnwDAs25QP3HaeMvetGR6o8LaZRYAaI5kfT5J6c,不违规,
46,陕西师范大学后勤第二集团网站首页,http://www.baidu.com/link?url=G94Lx1dz9NEpOOz-9m2qtQTWtt2fBsch02kf-QUlJzkJTSt4o11NJo3N5bLqfZJl,不违规,
47,陕师大-宗教研究中心,http://www.baidu.com/link?url=W8TykuwHDxVC9ylLPY1vkSdAZy1KDPUPBn3umX_OuBjQf_ifgmZtfVV2YpUCXZpF,不违规,
48,陕西省哲学社会科学重点研究基地 西北基础教育与教师教育研究中心...,http://www.baidu.com/link?url=FYGXseGwaXCugkid_HceIzyFmuztRbJHYAtz9j581jvB5efXvAqNkA3nil_OIBL8,不违规,
49,陕西师范大学新闻与传播学院,http://www.baidu.com/link?url=0resgbyDCC1z9TSCqwXh2nkRdp6IiX-sVKX7FCnuNc5VKjgaGPS_R0ABuQdTFGVx,不违规,
50,陕西省国际科技合作基地食品与健康科学国际联合研究中心,http://www.baidu.com/link?url=tQOZtBGjP--HFULWEmSYm0KUL6cw98V7hliTUvmK4lkw1uCGZtjcyf4ttbWYvrDc,不违规,
51,跨学科X-物理实验教学示范中心-陕西师范大学,http://www.baidu.com/link?url=5OqSAGmFFvdQ3P6XTGCAs3x9b6TvViOTBs56cRhlCUcgW_1a0LYj-f-RWHK7ZMMC,不违规,
52,陕西师范大学基建处,http://www.baidu.com/link?url=-Y03J_vs1WxU5TtARXFUL03pBlvQUlabMMzpHT0ydu0JWp1bGLl8aEObhzpfTnfD,不违规,
53,化学实验中心-化学实验教学中心,http://www.baidu.com/link?url=QzjzgZekXb89yKbFMClf6a-DXDrPHDzOaV4BDl4kryoUr_HdMSuftMUqRzyz7boA,不违规,
54,陕西师范大学迎新网站-首页,http://www.baidu.com/link?url=3LW1Emn05cS1A6G6K9INzKWQp1hvawrdzhuiimT2Uh4wOAtlLnB_vCHm7G45cUZf,不违规,
55,外国语学院网站,http://www.baidu.com/link?url=QK1iGwPChS0fcnihVEYamuyX8nmFNjJaKKJTLEubVXKj4dxgI1ylYSI7vczp1Oeo,不违规,
56,学生处学生资助管理中心,http://www.baidu.com/link?url=CJC0JQehF1lI9L0Cxs0_yhoKomDMpfZYY-AnRMSbVUbMX3y8uUzZGd-VBjTAzXEd,不违规,
57,陕西师范大学医学社会史研究中心官方主页-网站制作技术支持:新...,http://www.baidu.com/link?url=QmdqCUI8tLZjZtTyMMFklqE80S2IPApfoS9gPxpGQKCcP30h8nS9mT6xLbTVe-hb,不违规,
58,陕西师大档案馆,http://www.baidu.com/link?url=XYnQuJ8hlu83NUcsBTAijZPB8fZFKDLVhfupx8DY_xg325WMNsMlWmHRR5RdBjbj,不违规,
59,陕师大审计处,http://www.baidu.com/link?url=6qZrvbLQv_R4obPLt4O3W00zrcL1Q88FN0Rau8Ekm8GAUEcPM4zsQkbFdm0K0RAO,不违规,
60,马克思主义学院,http://www.baidu.com/link?url=hl-lDjJloNiWkQjv8eZerxwaXYSoomZkPBq5lZSda_9Nvqm8ARCTV3pDR9nvBmmS,不违规,
61,人文社会科学高等研究院,http://www.baidu.com/link?url=gzqGfDA3h8Mb6RWZhRhJ-7Nb7GaK1FXmqiIBejV8zjd7LwGH668TeQMDmxspTxqh,不违规,
62,陕西师范大学研究生招生信息网,http://www.baidu.com/link?url=hN7HPGvS-Qp8G_Y0PuefvczoFeBYy_Eaarz8c0Suw0ZMsvW8MwKp4QH-YYdZAuF_,不违规,
63,陕西师范大学哲学与政府管理学院 网站制作技术支持:新势力网络,http://www.baidu.com/link?url=7ctTvjpKP1g96-R400gdRtNCnTR45jRlXLJ3TOJG_blY5qSoEyO_Wt8TcVwiP5MK,不违规,
64,陕西师范大学本科招生信息网,http://www.baidu.com/link?url=E_eX3etHc2ZfcTM1rsuHcxTKKDxd0Yn6x-HE7Na6SU1hZVtHgLQnTMl503ZCj2Fx,不违规,
65,陕西师范大学环境感知与信息处理工程技术研究中心,http://www.baidu.com/link?url=ElPErvAQdE2Sg4baSwrCoTpQgUtmE0IhY8fZOagfUkyemnm_5JHO32nwMRd1AOjO,不违规,
66,中国古都名域网,http://www.baidu.com/link?url=59XjBAd6xBShlYgUWsQ8L6n7NdTClIQ-w6lCLNxPdUwtJsgEmYJSYUK3qwq0vfwW,不违规,
67,陕西师范大学邮件系统,http://www.baidu.com/link?url=9EZ9qiUgLS5WzkwFeHedZEZGC4lha3hynzmO3P1hCSCfdzg_TyejKHjQdgaUJA3W,不违规,
68,陕西师范大学团委-启夏青年网,http://www.baidu.com/link?url=oPEUTeyv89bZ-8Gjriutj_G7dxVjMmAwGejLAa7ymBaRV63CGKfrY7C_wa4L_hVs,不违规,
69,陕西师范大学教师教学发展中心,http://www.baidu.com/link?url=Ldj_C_a1nrwAIswaG8LV6qIjoHu7yQy9ELdln0jwRCAFfzhUHUurYvoGVVxsinwT,不违规,
70,陕西师范大学在线课程平台,http://www.baidu.com/link?url=qGw_qQxgr1WhExoGdeM9XrkvkIR-dv4qpwZ3goTm4FabQdw9zYx6HtfaarJ2b8Nq,不违规,
71,陕西师范大学秘书学系,http://www.baidu.com/link?url=Xcg5-qiB8DMEoknwhRceUzf80lkkEceaiCLlOB9ZOCgvWBuDjAcUPqCVil9qiBjo,不违规,
72,陕西师范大学学报编辑部,http://www.baidu.com/link?url=KTRUT7zKhzozw9ZH54OGHp5r2Z7jocsWOeuULxYPCyBZ_48hGz-PUv5-xrxiOrpH,不违规,
73,南方发展研究中心,http://www.baidu.com/link?url=msx_yQHUYyHodYxwB9-CJ0C2uN3_xx_AvUGt4YNf3eW,不违规,
74,陕西师大档案馆,http://www.baidu.com/link?url=vuBdW50KP02ceQw-7JIG3KhCjy9vj9JohKKqKanPqdK02fdJKORsWeCFvIoCIreI,不违规,
75,研究生院(研工部),http://www.baidu.com/link?url=ZzOI9KoDSVzYyOOAUm3rgfBn3rcadeJx_TMblCGK1d3UjZ90-0XGH0J9fvWXRB94,不违规,
76,陕西师范大学博物馆,http://www.baidu.com/link?url=e67o68L_gnP9jmayW0uHPLjyGdnHSF2VIXN38y86JpjiwgpIoxx5JX1mv77S8er5,不违规,
